Clip Index,Tag ID,Tag Time,Video Start (s),Clip Duration (s),Eject Time (s),Hold Time (s),Retract Time (s),Detected During Retract,Output File,Status
127,0,2026-04-27 23:39:40,19943.5,15.0,1.0,10.0,3.0,No,possible_feed_clips\bee_0\bee_0_feed_0127.mp4,Saved
128,0,2026-04-27 23:40:07,19970.5,13.0,1.0,10.0,1.0,No,possible_feed_clips\bee_0\bee_0_feed_0128.mp4,Saved
129,0,2026-04-27 23:40:19,,,0.0,0.0,0.0,Yes,,Skipped: zero duration
130,0,2026-04-27 23:40:30,19993.5,13.0,1.0,10.0,1.0,No,possible_feed_clips\bee_0\bee_0_feed_0130.mp4,Saved
131,0,2026-04-27 23:40:42,,,0.0,0.0,0.0,Yes,,Skipped: zero duration
132,0,2026-04-27 23:41:11,20034.5,16.0,1.0,10.0,4.0,No,possible_feed_clips\bee_0\bee_0_feed_0132.mp4,Saved
133,0,2026-04-27 23:48:39,20482.5,16.0,1.0,10.0,4.0,No,possible_feed_clips\bee_0\bee_0_feed_0133.mp4,Saved
134,0,2026-04-27 23:50:44,20607.5,15.0,1.0,10.0,3.0,No,possible_feed_clips\bee_0\bee_0_feed_0134.mp4,Saved
135,0,2026-04-27 23:51:23,20646.5,16.0,1.0,10.0,4.0,No,possible_feed_clips\bee_0\bee_0_feed_0135.mp4,Saved
136,0,2026-04-27 23:51:41,20664.5,17.0,2.0,10.0,4.0,No,possible_feed_clips\bee_0\bee_0_feed_0136.mp4,Saved
137,0,2026-04-27 23:51:58,20681.5,17.0,2.0,10.0,4.0,No,possible_feed_clips\bee_0\bee_0_feed_0137.mp4,Saved
138,0,2026-04-27 23:52:40,20723.5,16.0,1.0,10.0,4.0,No,possible_feed_clips\bee_0\bee_0_feed_0138.mp4,Saved
139,0,2026-04-27 23:53:03,20746.5,15.0,2.0,10.0,2.0,No,possible_feed_clips\bee_0\bee_0_feed_0139.mp4,Saved
140,0,2026-04-27 23:53:17,,,0.0,0.0,0.0,Yes,,Skipped: zero duration
141,0,2026-04-27 23:54:16,20819.5,16.0,1.0,10.0,4.0,No,possible_feed_clips\bee_0\bee_0_feed_0141.mp4,Saved
142,0,2026-04-27 23:54:32,20835.5,18.0,3.0,10.0,4.0,No,possible_feed_clips\bee_0\bee_0_feed_0142.mp4,Saved
143,0,2026-04-27 23:55:04,20867.5,16.0,1.0,10.0,4.0,No,possible_feed_clips\bee_0\bee_0_feed_0143.mp4,Saved
