Start Timestamp,Min Intensity,Max Intensity,Avg Intensity,Log Count,Duration (s)
2026-05-04 18:06:16,20.0,26.1,23.79,31,15.0
2026-05-04 18:07:31,20.0,20.0,20.0,2,1.0
2026-05-04 18:36:38,20.0,20.7,20.22,12,6.0
2026-05-04 18:37:40,20.0,21.6,20.47,24,12.0
2026-05-04 18:39:01,20.0,25.4,21.08,21,10.0
2026-05-04 18:57:33,20.0,23.0,20.9,22,11.0
2026-05-04 19:10:35,20.0,21.3,20.47,15,7.0
2026-05-04 19:29:48,20.0,20.0,20.0,1,0.0
2026-05-04 19:47:05,20.0,32.7,26.43,813,415.0
2026-05-04 19:56:20,23.3,36.2,32.5,15308,7831.0
